"coordinates (μm)","size (μm)"
"(885.8947368421052, 965.8947368421052)",11.392666062749495
"(818.9473684210525, 967.719298245614)",20.157083641335543
"(633.6842105263157, 967.157894736842)",13.011341541833755
"(379.36842105263156, 965.0526315789473)",14.835211873570373
"(27.36842105263158, 961.0526315789473)",10.623715882190147
"(836.4912280701752, 958.5964912280701)",4.751070177244263
"(113.6842105263158, 961.0526315789474)",14.835211873570373
"(699.2982456140352, 959.6491228070175)",19.732676454347803
"(656.3157894736842, 958.421052631579)",11.142247217686794
"(593.6842105263158, 960.6015037593985)",18.400815673129753
"(477.3684210526315, 957.3684210526316)",9.79458208775006
"(560.0, 953.6842105263158)",5.818848833201439
"(72.0, 952.842105263158)",10.623715882190147
"(54.50292397660819, 956.9590643274854)",19.004280708977053
"(820.5263157894736, 947.8947368421052)",7.512101541695878
"(936.8421052631578, 949.0526315789473)",10.886069359634549
"(616.8421052631578, 950.736842105263)",13.438055760890363
"(579.8496240601504, 948.8721804511279)",15.395226929329374
"(540.1315789473683, 953.8157894736842)",25.914028399994475
"(200.0, 940.2105263157894)",10.623715882190147
"(697.3684210526314, 938.9473684210527)",9.502140354488526
"(604.2105263157895, 937.5438596491227)",7.126605265866394
"(802.8070175438597, 934.736842105263)",6.719027880445181
"(644.2105263157895, 936.8421052631578)",7.126605265866394
"(385.2631578947368, 937.5438596491227)",11.637697666402879
"(876.578947368421, 937.8947368421052)",16.62874562035492
"(749.4736842105262, 928.4210526315788)",5.818848833201439
"(835.7894736842104, 932.2807017543859)",20.980157832281595
"(143.57894736842104, 930.5263157894736)",17.29415649101085
"(580.2105263157895, 926.7368421052631)",10.623715882190147
"(395.7894736842106, 924.2105263157895)",5.818848833201439
"(444.31077694235586, 941.9548872180449)",56.21542044736459
"(124.73684210526314, 930.7894736842104)",19.58916417550012
"(861.0526315789474, 920.0)",6.719027880445181
"(621.578947368421, 922.6315789473683)",9.79458208775006
"(600.8421052631579, 917.0526315789473)",9.502140354488526
"(509.4736842105263, 920.0)",15.757517130566548
"(363.15789473684214, 918.5964912280701)",10.623715882190147
"(85.41353383458646, 921.203007518797)",19.444592722333432
"(625.9649122807018, 909.4736842105262)",4.751070177244263
"(232.94117647058823, 922.8482972136222)",34.01248632842601
"(184.98245614035085, 924.9122807017543)",24.80131444788704
"(867.3684210526316, 906.8421052631578)",7.512101541695878
"(931.5789473684208, 904.2105263157895)",10.886069359634549
"(880.0, 901.0526315789472)",5.818848833201439
"(679.2481203007517, 911.4285714285714)",31.33545995459206
"(827.8947368421052, 906.8421052631578)",13.851630826272716
"(572.2105263157894, 901.0526315789473)",6.285075075201943
"(641.6842105263158, 898.1052631578947)",18.70498199280201
"(282.10526315789474, 895.7894736842104)",8.229094937312336
"(792.9824561403508, 897.8947368421051)",17.776876823767378
"(623.1578947368421, 896.4210526315788)",15.757517130566548
"(195.08771929824562, 893.3333333333334)",4.751070177244263
"(160.5263157894737, 894.7368421052631)",9.502140354488526
"(116.390977443609, 900.4511278195488)",25.252284375320784
"(857.8947368421052, 891.0526315789472)",7.126605265866394
"(715.0877192982456, 890.5263157894736)",7.126605265866394
"(593.6842105263157, 892.6315789473683)",12.112899772108616
"(461.05263157894734, 892.6315789473683)",10.623715882190147
"(663.157894736842, 886.3157894736842)",6.719027880445181
"(571.9298245614035, 887.0175438596492)",6.719027880445181
"(243.50877192982455, 886.3157894736842)",4.751070177244263
"(726.4073226544623, 908.558352402746)",42.09458901788135
"(436.84210526315786, 882.6315789473684)",7.878758565283274
"(178.94736842105263, 882.1052631578948)",6.719027880445181
"(547.8947368421052, 884.2105263157895)",22.78533212549899
"(452.6315789473684, 877.1929824561403)",4.751070177244263
"(108.42105263157893, 880.5263157894735)",10.886069359634549
"(601.0526315789474, 878.421052631579)",10.078541820667771
"(870.1754385964911, 877.1929824561403)",14.643781764846418
"(288.0, 874.9473684210527)",10.623715882190147
"(616.8421052631578, 876.9924812030076)",18.855225225605828
"(314.4736842105263, 877.8947368421052)",21.511385136632803
"(781.6842105263156, 876.2105263157894)",26.980892081035233
"(493.6842105263158, 869.4736842105262)",6.719027880445181
"(343.68421052631584, 871.0526315789473)",10.078541820667771
"(804.2105263157895, 865.2631578947368)",5.818848833201439
"(688.4210526315788, 865.9649122807018)",4.751070177244263
"(353.68421052631584, 867.3684210526316)",5.818848833201439
"(623.1578947368421, 862.1052631578946)",15.935573823285221
"(564.2105263157895, 856.1403508771931)",4.751070177244263
"(132.95546558704453, 869.9595141700405)",27.601223509694627
"(836.5413533834584, 859.6992481203007)",24.914822200855568
"(647.0175438596492, 855.7894736842104)",12.112899772108616
"(195.43859649122805, 855.7894736842105)",17.617439730282115
"(399.7724039829303, 878.6913229018492)",74.40394334366113
"(294.52631578947364, 853.6842105263156)",21.901351359410942
"(219.8830409356725, 860.1169590643275)",24.109048023497746
"(345.2631578947369, 844.736842105263)",7.512101541695878
"(673.1578947368421, 845.7894736842104)",11.637697666402879
"(508.07017543859644, 842.8070175438596)",6.285075075201943
"(707.3684210526317, 847.8195488721805)",21.511385136632803
"(472.63157894736844, 843.1578947368421)",8.888438411883689
"(401.05263157894734, 842.6315789473683)",9.200407836564876
"(296.14035087719293, 838.5964912280701)",4.751070177244263
"(104.0, 835.7894736842105)",11.392666062749495
"(519.9999999999999, 835.2631578947368)",10.078541820667771
"(316.31578947368416, 833.1578947368421)",15.935573823285221
"(710.1754385964911, 830.1754385964913)",4.751070177244263
"(277.593984962406, 838.4962406015038)",20.157083641335543
"(655.0877192982456, 827.017543859649)",23.873832174260812
"(358.5964912280702, 822.456140350877)",6.285075075201943
"(681.0526315789474, 818.9473684210526)",8.229094937312336
"(888.4210526315788, 819.6491228070176)",15.024203083391756
"(242.1052631578947, 816.1403508771931)",4.751070177244263
"(191.05263157894737, 825.438596491228)",19.298938291526486
"(159.94152046783628, 844.0935672514619)",56.165205680356074
"(638.5964912280701, 806.3157894736842)",7.126605265866394
"(666.3157894736842, 808.4210526315791)",12.570150150403887
"(539.8245614035087, 816.8421052631579)",30.328801724364553
"(207.89473684210523, 806.8421052631578)",11.877675443110656
"(75.78947368421052, 805.0526315789474)",11.392666062749495
"(946.1654135338346, 808.7218045112783)",17.617439730282115
"(178.01169590643272, 809.3567251461988)",19.298938291526486
"(862.1052631578947, 801.0526315789473)",8.229094937312336
"(89.82456140350875, 801.0526315789474)",14.643781764846418
"(899.2481203007518, 800.0)",16.797569701112952
"(298.6842105263158, 801.578947368421)",16.797569701112952
"(195.78947368421052, 796.2105263157895)",13.011341541833755
"(655.157894736842, 790.7368421052631)",12.343642405968502
"(916.2105263157895, 787.7894736842104)",12.792647957361048
"(430.5263157894736, 817.8105263157895)",75.15856653923247
"(73.68421052631578, 783.157894736842)",5.818848833201439
"(220.0, 780.0)",13.851630826272716
"(858.4210526315788, 776.3157894736842)",12.570150150403887
"(488.0, 773.8947368421052)",9.502140354488526
"(153.80804953560371, 786.9969040247677)",28.107710223682297
"(323.859649122807, 787.5438596491227)",31.24528578215549
"(941.3157894736842, 769.2105263157894)",26.452839218165128
"(540.7518796992481, 765.1127819548873)",13.226419609082564
"(81.6842105263158, 769.0526315789473)",20.980157832281595
"(674.078947368421, 766.1842105263158)",34.751082412737034
"(603.2581453634085, 774.3358395989975)",56.5157721155575
"(35.78947368421052, 806.1538461538462)",108.08032013997352
"(286.31578947368416, 757.0526315789473)",14.253210531732789
"(591.1111111111111, 748.7719298245613)",20.016614448165857
"(566.3157894736843, 748.7719298245614)",11.142247217686794
"(46.315789473684205, 745.2631578947369)",6.719027880445181
"(174.28571428571425, 755.0375939849622)",35.633026329331976
"(653.3333333333333, 743.1578947368421)",5.818848833201439
"(856.8421052631578, 740.3508771929824)",5.818848833201439
"(89.68421052631578, 744.2105263157894)",23.275395332805758
"(264.7953216374269, 743.1578947368421)",23.636275695849818
"(602.1052631578948, 734.7368421052631)",6.719027880445181
"(517.8947368421052, 736.8421052631578)",12.570150150403887
"(241.40350877192978, 741.7543859649122)",13.851630826272716
"(167.0175438596491, 734.0350877192982)",6.719027880445181
"(949.172932330827, 735.93984962406)",19.444592722333432
"(687.3684210526317, 725.7894736842105)",10.623715882190147
"(395.157894736842, 739.6842105263157)",58.57512705938567
"(284.2105263157895, 722.6315789473684)",9.502140354488526
"(89.82456140350877, 721.4035087719298)",7.878758565283274
"(661.0526315789473, 723.1578947368421)",23.873832174260812
"(599.6491228070175, 723.8596491228069)",18.400815673129753
"(586.6666666666666, 716.4912280701755)",7.878758565283274
"(903.8596491228069, 715.0877192982456)",5.818848833201439
"(876.4912280701755, 724.2105263157894)",23.153851967677454
"(527.2180451127819, 719.3984962406014)",15.210846302828562
"(224.56140350877192, 708.7719298245614)",4.751070177244263
"(186.05263157894734, 713.9473684210526)",17.45654649960432
"(153.08270676691725, 718.1954887218045)",34.26045427476395
"(4.912280701754386, 709.8245614035087)",16.62874562035492
"(479.83805668016186, 722.8070175438595)",62.128304328832854
"(63.999999999999986, 705.6842105263158)",12.112899772108616
"(656.3157894736842, 698.9473684210527)",11.142247217686794
"(300.35087719298247, 701.7543859649123)",18.091536239964466
"(340.52631578947364, 695.7894736842105)",12.792647957361048
"(557.593984962406, 698.345864661654)",20.57273734328084
"(519.578947368421, 693.0526315789473)",11.637697666402879
"(580.3508771929825, 695.0877192982456)",18.091536239964466
"(931.3684210526314, 685.4736842105264)",10.623715882190147
"(693.4736842105262, 689.2631578947368)",16.111662857528025
"(208.84210526315786, 687.578947368421)",16.62874562035492
"(45.96491228070175, 688.0701754385965)",15.757517130566548
"(98.24561403508771, 679.9999999999999)",5.311857941095074
"(768.0421052631577, 746.8631578947368)",177.73702097994448
"(658.1052631578947, 682.1052631578947)",17.93489661427332
"(319.57894736842104, 681.6842105263157)",12.792647957361048
"(706.8421052631579, 677.8947368421052)",9.502140354488526
"(686.3157894736842, 674.7368421052631)",9.502140354488526
"(938.9473684210525, 671.578947368421)",6.719027880445181
"(544.2105263157895, 674.2105263157894)",10.886069359634549
"(499.2105263157895, 681.3157894736842)",22.4107532045996
"(174.73684210526315, 673.1578947368421)",10.078541820667771
"(83.42105263157895, 676.8421052631579)",21.114217712828523
"(602.6315789473684, 671.578947368421)",7.512101541695878
"(476.31578947368416, 675.7894736842105)",20.70943477627762
"(456.8421052631578, 670.5263157894736)",6.719027880445181
"(15.26315789473684, 669.4736842105262)",11.142247217686794
"(937.5438596491227, 663.157894736842)",4.751070177244263
"(838.2456140350877, 663.5087719298244)",13.011341541833755
"(1.4035087719298245, 660.3508771929824)",4.751070177244263
"(752.421052631579, 669.8947368421052)",25.585295914722096
"(888.4210526315788, 656.8421052631578)",5.818848833201439
"(134.43609022556387, 674.3859649122808)",42.89140272912086
"(858.0116959064327, 659.4152046783626)",17.776876823767378
"(957.2932330827068, 657.142857142857)",17.93489661427332
"(693.8345864661653, 653.8345864661653)",34.01248632842601
"(801.0526315789474, 646.3157894736842)",10.623715882190147
"(558.5964912280701, 646.3157894736842)",5.818848833201439
"(418.2456140350877, 646.3157894736842)",7.512101541695878
"(626.1988304093567, 648.6549707602339)",24.341991095920452
"(502.96650717703346, 655.311004784689)",25.804916216846067
"(41.68421052631579, 645.0526315789473)",11.637697666402879
"(457.5438596491228, 638.5964912280701)",6.719027880445181
"(314.2105263157895, 638.9473684210526)",9.200407836564876
"(77.89473684210526, 639.1578947368421)",14.253210531732789
"(738.5263157894735, 643.3684210526314)",12.570150150403887
"(537.3684210526316, 635.7894736842104)",7.512101541695878
"(470.5263157894737, 635.7894736842104)",8.229094937312336
"(129.12280701754386, 634.3859649122807)",6.719027880445181
"(637.8947368421052, 633.6842105263157)",5.818848833201439
"(616.8421052631578, 630.8771929824561)",4.751070177244263
"(796.8421052631579, 631.578947368421)",10.623715882190147
"(34.73684210526316, 631.0526315789474)",9.200407836564876
"(686.3157894736842, 626.6666666666665)",4.751070177244263
"(255.8704453441295, 637.2469635627531)",40.52359293753471
"(771.0526315789474, 638.0701754385965)",29.094244166007197
"(956.4912280701753, 628.0701754385965)",26.770920857787463
"(912.5226860254082, 639.9274047186932)",47.21282609761471
"(288.1578947368421, 630.2631578947369)",22.78533212549899
"(616.3157894736842, 621.578947368421)",10.35471738813881
"(483.5087719298245, 619.6491228070175)",4.751070177244263
"(67.36842105263158, 620.6315789473683)",14.253210531732789
"(415.90643274853795, 621.2865497076024)",18.70498199280201
"(309.4736842105263, 622.1052631578947)",19.58916417550012
"(896.8421052631578, 614.0350877192982)",4.751070177244263
"(532.6315789473684, 614.7368421052632)",5.818848833201439
"(517.0526315789473, 619.7894736842105)",12.792647957361048
"(831.977240398293, 626.9132290184922)",51.88246947303256
"(782.1052631578947, 613.6842105263157)",12.112899772108616
"(738.2456140350877, 614.7368421052631)",16.797569701112952
"(373.81578947368416, 622.1052631578947)",25.804916216846067
"(845.9649122807017, 614.0350877192982)",12.343642405968502
"(439.766081871345, 613.0994152046783)",14.449815826479364
"(31.31578947368421, 610.2631578947369)",28.107710223682297
"(5.052631578947368, 602.9473684210526)",11.392666062749495
"(905.2631578947368, 602.1052631578947)",5.818848833201439
"(790.1754385964911, 598.5964912280701)",4.751070177244263
"(707.7894736842105, 599.1578947368421)",13.851630826272716
"(80.1913875598086, 606.6985645933014)",29.287563529692836
"(852.6315789473683, 597.0526315789473)",14.053855111841148
"(964.6315789473683, 594.5263157894736)",12.343642405968502
"(652.6315789473683, 595.2631578947368)",6.285075075201943
"(896.3157894736842, 590.0)",2.3755350886221316
"(686.8421052631579, 590.5263157894736)",9.200407836564876
"(578.6842105263157, 606.3157894736842)",39.679258827247686
"(761.4035087719298, 594.3859649122807)",23.516597581558134
"(477.8947368421052, 593.1578947368421)",19.444592722333432
"(545.9649122807018, 584.561403508772)",4.751070177244263
"(530.5263157894736, 588.421052631579)",15.024203083391756
"(12.63157894736842, 589.4736842105262)",16.797569701112952
"(515.7894736842104, 584.2105263157894)",12.112899772108616
"(725.6140350877191, 582.1052631578947)",12.112899772108616
"(706.1052631578947, 582.3157894736843)",13.646410135639103
"(374.7368421052631, 579.4736842105262)",7.512101541695878
"(688.4210526315788, 577.1929824561404)",11.637697666402879
"(589.4736842105262, 575.906432748538)",21.772138719269098
"(68.57142857142857, 574.1353383458646)",15.024203083391756
"(918.5964912280702, 572.280701754386)",9.502140354488526
"(6.3157894736842115, 570.8771929824562)",13.226419609082564
"(705.9649122807018, 564.2105263157895)",4.751070177244263
"(858.2456140350877, 561.4035087719299)",4.751070177244263
"(454.35406698564583, 572.0574162679426)",22.029806134545225
"(942.4561403508773, 563.1578947368421)",15.577425305961933
"(676.8421052631579, 560.0)",11.392666062749495
"(350.43859649122805, 581.2280701754386)",46.30770393535491
"(650.0, 557.3684210526316)",10.078541820667771
"(334.3157894736842, 564.0000000000001)",21.511385136632803
"(505.2631578947368, 571.5087719298244)",33.426741653060375
"(212.98245614035082, 618.5185185185185)",95.02140354488525
"(453.1578947368421, 551.578947368421)",10.886069359634549
"(970.5263157894738, 545.2631578947369)",9.502140354488526
"(702.456140350877, 547.719298245614)",14.643781764846418
"(393.2631578947368, 547.7894736842104)",11.142247217686794
"(281.31578947368416, 547.6315789473683)",13.851630826272716
"(631.0047846889952, 547.5598086124401)",28.605230444883134
"(423.1578947368421, 551.3312693498451)",24.109048023497746
"(257.89473684210526, 546.3157894736842)",17.617439730282115
"(534.3859649122807, 552.8070175438596)",27.8049253397068
"(736.0526315789473, 541.8421052631578)",21.511385136632803
"(62.22222222222222, 543.859649122807)",19.004280708977053
"(569.8245614035087, 534.7368421052631)",4.751070177244263
"(52.63157894736842, 533.3333333333333)",4.751070177244263
"(807.9425837320574, 562.2966507177033)",58.767492526500355
"(542.8571428571429, 532.6315789473684)",16.797569701112952
"(921.704260651629, 540.5513784461155)",45.75603720984816
"(606.3157894736843, 523.5087719298244)",5.818848833201439
"(408.9473684210526, 530.2631578947368)",21.379815797599186
"(378.7368421052631, 530.9473684210526)",23.275395332805758
"(281.4035087719298, 523.5087719298245)",7.878758565283274
"(329.82456140350877, 520.7017543859648)",4.751070177244263
"(313.91812865497076, 524.6783625730993)",18.55352215601589
"(425.7894736842105, 519.4736842105262)",10.078541820667771
"(777.7443609022555, 521.5037593984963)",24.45763065939024
"(703.6842105263157, 517.3684210526316)",8.565113568690988
"(474.47368421052624, 521.3157894736842)",18.70498199280201
"(920.7017543859648, 515.438596491228)",17.776876823767378
"(570.0, 507.36842105263156)",7.512101541695878
"(80.70175438596492, 514.0350877192983)",10.886069359634549
"(852.1052631578947, 511.05263157894734)",21.247431764380295
"(640.0, 505.96491228070175)",6.719027880445181
"(514.2583732057416, 515.9808612440191)",25.47477576126275
"(408.4210526315789, 505.96491228070175)",4.751070177244263
"(64.73684210526315, 507.89473684210526)",9.79458208775006
"(30.31578947368421, 506.52631578947364)",10.623715882190147
"(17.263157894736842, 506.1052631578947)",10.35471738813881
"(452.10526315789474, 515.438596491228)",27.8049253397068
"(136.84210526315786, 506.1654135338345)",15.395226929329374
"(3.6842105263157894, 509.47368421052624)",15.024203083391756
"(542.8070175438596, 502.4561403508772)",11.877675443110656
"(424.4210526315789, 503.578947368421)",13.851630826272716
"(653.1578947368421, 497.36842105263156)",10.078541820667771
"(53.333333333333336, 495.43859649122805)",7.512101541695878
"(272.98245614035085, 494.0350877192982)",6.285075075201943
"(857.5438596491227, 491.2280701754385)",4.751070177244263
"(233.1829573934837, 505.36340852130314)",61.99190832604081
"(889.5693779904304, 492.24880382775115)",22.661160453781296
"(340.52631578947364, 487.8947368421052)",9.79458208775006
"(674.2105263157895, 483.6842105263157)",8.565113568690988
"(386.6666666666667, 495.43859649122805)",27.9062186636589
"(719.298245614035, 485.96491228070164)",8.565113568690988
"(293.3333333333333, 486.54970760233914)",24.572726027618927
"(911.5789473684209, 474.3859649122807)",4.751070177244263
"(580.8612440191387, 477.8947368421052)",21.642154639818596
"(438.42105263157896, 479.2105263157895)",18.55352215601589
"(842.1052631578947, 475.7894736842105)",8.229094937312336
"(175.43859649122805, 470.17543859649123)",6.719027880445181
"(650.0584795321638, 475.55555555555554)",22.28449443537359
"(82.80701754385966, 467.3684210526316)",4.751070177244263
"(350.0, 466.84210526315786)",8.565113568690988
"(518.421052631579, 469.4736842105263)",5.818848833201439
"(113.08270676691727, 467.0676691729323)",20.70943477627762
"(549.1497975708503, 474.00809716599184)",38.96167233971052
"(708.421052631579, 459.4736842105263)",14.449815826479364
"(458.94736842105266, 456.84210526315786)",5.818848833201439
"(616.5413533834586, 467.3684210526316)",30.23562546200332
"(393.6842105263158, 450.5263157894736)",5.818848833201439
"(888.0451127819548, 465.6390977443608)",38.30435234919773
"(515.7894736842105, 450.87719298245605)",12.112899772108616
"(49.122807017543856, 450.8771929824561)",16.797569701112952
"(98.94736842105263, 447.8947368421052)",7.512101541695878
